,id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language,corpus_name,Rating.Mean,Conc.M,SUBTLEX
5389,9734416,14790,134,25334,198,of,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,4.55,1.67,590439.0
5390,9734416,14790,134,25334,198,the,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,3.98,1.43,1501908.0
5391,9734416,14790,134,25334,198,window,12,Mr_Train_Driver what be these thing I can see out of the window,n:prop pro:int aux pro:dem n pro:sub mod v adv prep det:art n,INV,Jeannine,Investigator,14768.0,48.132405182858,Thomas,male,question,197.101,193.177,s,13,Eng-UK,14.0,eng,Thomas,4.74,4.86,4386.0
5392,9735967,14770,1113,25322,198,fireman,2,Fireman bald,n:prop adj,MOT,Mother,Mother,14768.0,45.132343579950295,Thomas,male,declarative,,,,13,Eng-UK,2.0,eng,Thomas,5.05,4.8,149.0
5393,9735967,14770,1113,25322,198,bald,2,Fireman bald,n:prop adj,MOT,Mother,Mother,14768.0,45.132343579950295,Thomas,male,declarative,,,,13,Eng-UK,2.0,eng,Thomas,7.26,4.69,496.0
5394,9738159,14790,241,25337,198,there,7,there I know I see a dinosaur,adv pro:sub v pro:sub part det:art n,INV,Jeannine,Investigator,14768.0,49.0010061808251,Thomas,male,declarative,404.30800000000005,402.787,s,13,Eng-UK,10.0,eng,Thomas,5.25,2.2,221754.0
5395,9738159,14790,241,25337,198,knew,7,there I know I see a dinosaur,adv pro:sub v pro:sub part det:art n,INV,Jeannine,Investigator,14768.0,49.0010061808251,Thomas,male,declarative,404.30800000000005,402.787,s,13,Eng-UK,10.0,eng,Thomas,,1.63,18817.0
5396,9738159,14790,241,25337,198,seen,7,there I know I see a dinosaur,adv pro:sub v pro:sub part det:art n,INV,Jeannine,Investigator,14768.0,49.0010061808251,Thomas,male,declarative,404.30800000000005,402.787,s,13,Eng-UK,10.0,eng,Thomas,,2.96,19633.0
5397,9738159,14790,241,25337,198,dinosaur,7,there I know I see a dinosaur,adv pro:sub v pro:sub part det:art n,INV,Jeannine,Investigator,14768.0,49.0010061808251,Thomas,male,declarative,404.30800000000005,402.787,s,13,Eng-UK,10.0,eng,Thomas,4.91,4.87,203.0
5398,9759770,14790,480,25345,198,that,2,that brilliant,pro:dem adj,INV,Jeannine,Investigator,14768.0,50.1324462514631,Thomas,male,declarative,938.724,937.563,s,13,Eng-UK,3.0,eng,Thomas,5.53,1.54,719677.0
5399,9759770,14790,480,25345,198,brilliant,2,that brilliant,pro:dem adj,INV,Jeannine,Investigator,14768.0,50.1324462514631,Thomas,male,declarative,938.724,937.563,s,13,Eng-UK,3.0,eng,Thomas,7.95,2.07,1826.0
5400,9763428,14770,405,25349,198,and,8,and Thomas be thrill when he get it,coord n:prop aux part conj pro:sub v pro:per,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,480.939,479.082,s,13,Eng-UK,12.0,eng,Thomas,4.57,1.52,682780.0
5401,9763428,14770,405,25349,198,thoma,8,and Thomas be thrill when he get it,coord n:prop aux part conj pro:sub v pro:per,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,480.939,479.082,s,13,Eng-UK,12.0,eng,Thomas,,,
5402,9763428,14770,405,25349,198,was,8,and Thomas be thrill when he get it,coord n:prop aux part conj pro:sub v pro:per,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,480.939,479.082,s,13,Eng-UK,12.0,eng,Thomas,,1.69,288391.0
5403,9763428,14770,405,25349,198,thrill,8,and Thomas be thrill when he get it,coord n:prop aux part conj pro:sub v pro:per,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,480.939,479.082,s,13,Eng-UK,12.0,eng,Thomas,8.37,2.46,429.0
5404,9763428,14770,405,25349,198,when,8,and Thomas be thrill when he get it,coord n:prop aux part conj pro:sub v pro:per,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,480.939,479.082,s,13,Eng-UK,12.0,eng,Thomas,4.24,1.6,103739.0
5405,9763428,14770,405,25349,198,he,8,and Thomas be thrill when he get it,coord n:prop aux part conj pro:sub v pro:per,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,480.939,479.082,s,13,Eng-UK,12.0,eng,Thomas,3.81,3.93,389497.0
5406,9763428,14770,405,25349,198,got,8,and Thomas be thrill when he get it,coord n:prop aux part conj pro:sub v pro:per,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,480.939,479.082,s,13,Eng-UK,12.0,eng,Thomas,,1.93,168631.0
5407,9763428,14770,405,25349,198,it,8,and Thomas be thrill when he get it,coord n:prop aux part conj pro:sub v pro:per,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,480.939,479.082,s,13,Eng-UK,12.0,eng,Thomas,4.4,2.81,963712.0
5408,9769285,14770,785,25349,198,don,4,I do think so,pro:sub mod v co,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,1001.993,1000.89,s,13,Eng-UK,5.0,eng,Thomas,11.65,,
5409,9769285,14770,785,25349,198,think,4,I do think so,pro:sub mod v co,MOT,Mother,Mother,14768.0,51.0996119016818,Thomas,male,declarative,1001.993,1000.89,s,13,Eng-UK,5.0,eng,Thomas,4.75,2.41,137261.0
